src_player_id,ActivityMonth,Product,SubProduct,ActivePlayerDays,Bet_Amount,Win_Amount,Gross_Win,Net_Gross_Win
16612662,9/30/2020,SportsBook,Prematch,2,146,0,146,123
17989834,12/31/2020,eGaming,Non Table Games,1,120,21,100,84
20399924,6/30/2021,eGaming,Non Table Games,8,5012,4337,675,567
14675979,6/30/2020,eGaming,Non Table Games,5,1942,2378,-436,-366
16453572,7/31/2020,eGaming,Non Table Games,1,0,0,0,0
14993292,11/30/2020,SportsBook,Prematch,30,175,18,157,132
14679421,1/31/2021,SportsBook,Prematch,2,201,0,201,169
14986020,4/30/2020,eGaming,Non Table Games,1,183,83,99,83
14996830,2/29/2020,eGaming,Non Table Games,1,288,268,20,17
12731820,6/30/2019,SportsBook,Prematch,1,25,0,25,21
13975895,11/30/2020,SportsBook,Prematch,30,0,0,0,0
12646389,8/31/2019,SportsBook,Livebook,1,2,0,2,2
13481678,4/30/2020,eGaming,Non Table Games,2,3741,3212,523,440
13452823,9/30/2019,eGaming,Non Table Games,3,12,19,-7,-6
14700773,2/29/2020,SportsBook,Livebook,6,77,33,44,37
13399921,6/30/2021,eGaming,Non Table Games,17,0,0,0,0
19297419,3/31/2021,eGaming,Non Table Games,4,4495,3822,673,565
16242855,8/31/2020,SportsBook,Prematch,3,6,0,8,7
13239343,8/31/2019,eGaming,Non Table Games,1,1348,1179,156,131
19770370,6/30/2021,eGaming,Non Table Games,6,0,0,0,0
12706320,8/31/2020,eGaming,Non Table Games,4,1237,1037,195,164
15028879,12/31/2020,eGaming,Non Table Games,9,3829,3124,704,591
18087981,12/31/2020,IVG,IVG,1,8,6,2,2
12593605,1/31/2021,SportsBook,Prematch,1,20,0,20,17
13408297,11/30/2019,SportsBook,Prematch,8,225,285,-92,-77
13196548,6/30/2019,SportsBook,Prematch,4,2875,1350,1525,1281
12441422,11/30/2020,eGaming,Non Table Games,1,476,456,15,13
18900389,6/30/2021,SportsBook,Livebook,3,65,15,50,42
14505567,7/31/2020,eGaming,Non Table Games,2,1028,1169,-150,-126
